95/01	Butyrate response factor 2 (5' primers) 	Brf2	M58564	Brf2 	butyrate response factor 2	
95/02	Butyrate response factor 1 (5' primers) 	Brf1	M58566	Brf1 	butyrate response factor 1	
95/03	Somatostatin receptor type 4 (5' primers) 	Smstr4	U26176	Smstr4 	somatostatin receptor 4	
95/04	Glucagon receptor (5' primers) 	Gcgr	L38613	Gcgr 	glucagon receptor	
95/05	Somatostatin receptor isoform 1 (5' primers) 	Smstr1	M81831	Smstr1 	somatostatin receptor 1	
95/06	Somatostatin receptor isoform 2 (5' primers) 	Smstr2	M81832	Smstr2 	somatostatin receptor 2	
95/07	Somatostatin receptor (SSTR3) (5' primers) 	Smstr3	M91000	Smstr3 	somatostatin receptor 3	
95/08	Zinc finger protein-36 (5' primers) 	Zfp36	X14678	Zfp36 	zinc finger protein 36	
95/09	Hepatocyte growth factor 	Hgf	D10213	Hgf 	hepatocyte growth factor	
95/10	Meiosis-specific nuclear structural protein 1 	Mns1	D14849	Mns1 	meiosis-specific nuclear structural protein 1	
95/11	TGF-beta type I receptor 	Tgfbr1	D25540	Tgfbr1 	"transforming growth factor, beta receptor I"	
95/12	Glial cell line derived neurotrophic factor 	Gdnf	D49921	Gdnf 	glial cell line derived neurotrophic factor	
95/13	Pleiotrophin 	Ptn	D90225	Ptn 	pleiotrophin	
95/14	Homeobox B6 	Hoxb6	J03782	Hoxb6 	homeo box B6	
95/48	Growth hormone releasing hormone 	Ghrh	M31654	Ghrh	growth hormone releasing hormone
95/49	Growth hormone receptor 	Ghr	M31680	Ghr 	growth hormone receptor
95/50	Growth hormone receptor 	Ghr	M33324	Ghr 	growth hormone receptor
95/51	Homeo box B1 	Hoxb1	M34005	Hoxb1	homeo box B1
95/52	Caudal type Homeo box 1 	Cdx1	M37163	Cdx1 	caudal type homeo box 1
95/53	Estrogen receptor 	Estr	M38651	Estra 	estrogen receptor alpha
95/54	Angiotensin-converting enzyme 	Ace	M55333	Ace 	angiotensin converting enzyme
95/55	Butyrate response factor 2 	Brf2	M58564	Brf2 	butyrate response factor 2
95/56	Butyrate response factor 1 	Brf1	M58566	Brf1 	butyrate response factor 1
95/57	Fat specific gene 27 	Fsp27	M61737	Fsp27 	fat specific gene 27
95/58	"Fatty acid binding protein, intestinal  "	Fabpi	M65034	Fabpi 	fatty acid binding protein intestinal
95/59	House-keeping protein 1 	Hkp1	M74555	Hkp1	house-keeping protein 1 
95/60	"Glucose transporter-3, brain  "	Glut3	M75135	Slc2a3 	"solute carrier family 2 (facilitated glucose transporter), member 3 "
95/61	Somatostatin receptor-1 	Smstr1	M81831	Smstr1 	somatostatin receptor 1
95/62	Somatostatin receptor-2 	Smstr2	M81832	Smstr2 	somatostatin receptor 2
95/63	Somatostatin receptor-3 	Smstr3	M91000	Smstr3 	somatostatin receptor 3
95/64	Transforming growth factor alpha 	Tgfa	M92420	Tgfa 	transforming growth factor alpha
95/65	Homeo box A2 	Hoxa2	M93292	Hoxa2 	homeo box A2
95/66	Vascular endothelial growth factor 	Vegf	M95200	Vegf 	vascular endothelial growth factor
95/67	Villin 	Vil	M98454	Vil	villin
95/68	Receptor-like tyrosine kinase 	Ryk	M98547	Ryk	receptor-like tyrosine kinase
95/69	Adenosine A1 receptor 	Adora1	U05671	Adora1 	adenosine A1 receptor
95/70	Adenosine A2a receptor 	Adora2a	U05672	Adora2a 	adenosine A2a receptor
95/71	Adenosine A2b receptor 	Adora2b	U05673	Adora2b 	adenosine A2b receptor
95/72	Insulin II 	Ins2	U05730	Ins2 	insulin II
95/73	Secretin 	Sct	U07568	Sct 	secretin
95/74	"NADH dehydrogenase 3, mitochondrial  "	mt-Nd3	U09638	mt-Nd3 	"NADH dehydrogenase 3, mitochondrial"
95/75	"Potassium inwardly-rectifying channel, subfamily J, member 3  "	Kcnj3	U11075	Kcnj4	"potassium inwardly rectifying channel, subfamily J, member 4"
95/76	"Potassium inwardly rectifying channel, sub family J, member 6  "	Kcnj6	U11859	Kcnj6 	"potassium inwardly rectifying channel, subfamily J, member 6"
95/77	"Potassium inwardly-rectifying channel, subfamily J, member 5  "	Kcnj5	U11860	Kcnj9 	"potassium inwardly-rectifying channel, subfamily J, member 9"
95/78	Follicle stimulating hormone beta 	Fshb	U12932	Fshb 	follicle stimulating hormone beta
95/79	Calcitonin receptor 	Calcr	U18542	Calcr 	calcitonin receptor
95/80	Mi protein heart-specific form (mi) 	null	U19874	Mitf 	microphthalmia-associated transcription factor
95/81	Mi protein skin-specific form (mi) 	null	U19875	Mitf 	microphthalmia-associated transcription factor
95/82	Cannabinoid receptor 2 (macrophage) 	Cnr2	U21681	Cnr2	cannabinoid receptor 2 (macrophage)
95/83	Luteinizing hormone beta 	Lhb	U25145	Lhb 	luteinizing hormone beta
95/84	Somatostatin receptor type 4 	Smstr4	U26176	Smstr4 	somatostatin receptor 4
95/85	Uterine-specific proline-rich acidic protein	null	U28486	Upa 	uterine-specific proline-rich acidic protein
95/86	Zinc finger protein-36 	Zfp36	X14678	Zfp36 	zinc finger protein 36
95/87	Fatty acid binding protein heart 1 	Fabph1	X14961	Fabph1 	fatty acid binding protein heart 1
95/88	"Potassium inwardly-rectifying channel, subfamily J, member 2  "	Kcnj2	X73052	Kcnj2 	"potassium inwardly rectifying channel, subfamily J, member 2"
95/89	Pancreatic and duodenal homeobox gene-1 	Pdx1	X74342	Pdx1 	pancreatic and duodenal homeobox gene 1
95/90	"Potassium inwardly-rectifying channel, subfamily J, member 4  "	Kcnj4	X80417	Kcnj12 	"potassium inwardly rectifying channel, subfamily J, member 12"
95/91	Vasoactive intestinal polypeptide 	Vip	Z31361	Vip 	vasoactive intestinal polypeptide
95/92	Glucagon 	Gcg	Z46845	Gcg 	glucagon
95/93	Epidermal growth factor (5' primers) 	Egf	J00380	Egf 	epidermal growth factor
95/94	"Dystrophin, muscular dystrophy (exons 1-7, 5' primers)  "	Dmd	M68859	Dmd 	"dystrophin, muscular dystrophy"
95/95	Cystic fibrosis transmembrane conductance regulator homolog (5' primers) 	Cftr	M60493	Cftr 	cystic fibrosis transmembrane conductance regulator homolog
95/96	P glycoprotein 3 (5' primers) 	Pgy3	M33581	Pgy3 	P glycoprotein 3
96/97	Neural precursor cell expressed developmentally down-regulated gene-2 	Nedd2	D10713	Nedd2 	"neural precursor cell expressed, developmentally down regulated gene 2"
96/98	"Protein kinase, mitogen-activated kinase 1  "	Prkm1	D10939	Prkm1 	"protein kinase, mitogen activated kinase 1"
96/99	Tight junction protein 1 	Tjp1	D14340	Tjp1 	tight junction protein 1
96/100	Transcription factor 4 	Tcf4	D29015	Tcf14 	transcription factor 14
96/101	Epidermal growth factor 	Egf	J00380	Egf 	epidermal growth factor
96/102	Laminin receptor 1 	Lamr1	J02870	P40-8 	"P40-8, functional"
96/103	Jun oncogene 	Jun	J04115	Jun 	Jun oncogene
96/104	Kirsten rat sarcoma oncogene-2 	Kras2	K01927	Kras2 	"Kirsten rat sarcoma oncogene 2, expressed"
96/105	Integrin beta 4 	Itgb4	L04678	Itgb4 	integrin beta 4
96/106	Engrailed-1 	En1	L12703	En1 	engrailed 1
96/107	Engrailed-2 	En2	L12705	En2 	engrailed 2
96/108	MEK kinase 	Mekk	L13103	Mekk 	MEK kinase
96/109	Prolactin receptor (Long form) 	Prlr	L13593	Prlr 	prolactin receptor
96/110	Janus kinase 2 (5' end only) 	Jak2	L16956	Jak2 	Janus kinase 2
96/111	Vinculin 	Vcl	L18880	Vcl	vinculin
96/112	Bcl2-associated x protein 	Bax	L22472	Bax 	Bcl2-associated X protein
96/113	"Protein kinase C, gamma  "	Pkcc	L28035	Pkcc	"protein kinase C, gamma"
96/114	Wingless-related MMTV integration site-12 	Wnt12	L33719	Wnt10b 	Wingless related MMTV integration site 10b
96/115	Desmocollin 2 	Dsc2	L33779	Dsc2 	desmocollin 2
96/116	Avian erythroblastosis oncogene B-2 	Erbb2	L47239	Erbb2 	avian erythroblastosis oncogene B 2
96/117	Avian erythroblastosis oncogene B-3 	Erbb3	L47240	Erbb3 	avian erythroblastosis oncogene B 3
96/118	Avian erythroblastosis oncogene B-4 	Erbb4	L47241	Erbb4 	avian erythroblastosis oncogene B 4
96/119	Wingless-related MMTV integration site-1 	Wnt1	M11943	Wnt1 	wingless-related MMTV integration site 1
96/120	"Actin, alpha 1, skeletal muscle  "	Acta1	M12347	Acta1 	"actin, alpha 1, skeletal muscle"
96/121	"Procollagen, type IV, alpha 1  "	Col4a1	M15832	Col4a1 	"procollagen, type IV, alpha 1"
96/122	B-cell leukemia / lymphoma-2 	Bcl2	M16506	Bcl2 	B-cell leukemia/lymphoma 2
96/123	C-src tyrosine kinase 	Csk	M17031	Src 	Rous sarcoma oncogene
96/124	"Harvey rat sarcoma oncogene, subgroup R  "	Rras	M21019	Rras 	"Harvey rat sarcoma oncogene, subgroup R"
96/125	Fibroblast growth factor receptor-1 	Fgfr1	M28998	Fgfr1 	fibroblast growth factor receptor 1
96/126	Wingless-related MMTV integration site-3 	Wnt3	M32502	Wnt3 	wingless-related MMTV integration site 3
96/127	Lamin B1 	Lmnb1	M35153	Lmnb1 	lamin B1
96/128	Casein alpha 	Csna	M36780	Csna 	casein alpha
96/129	"Transforming growth factor, beta 1  "	Tgfb1	M57902	Tgfb1 	"transforming growth factor, beta 1"
96/130	Cystic fibrosis transmembrane conductance regulator homolog 	Cftr	M60493	Cftr 	cystic fibrosis transmembrane conductance regulator homolog
96/131	Cyclin D1 	Ccnd1	M64403	Ccnd1 	cyclin D1
96/132	Yamaguichi sarcoma viral (v-myc) oncogene homolog 	Lyn	M64608	Lyn 	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog
96/133	Perlecan (heparan sulphate proteoglycan 2) 	Hspg2	M77174	Hspg2 	perlecan (heparan sulfate proteoglycan 2)
96/134	Rhodopsin 	Rho	M79315	Arhd 	aplysia ras-related homolog D (RhoD) 
96/135	Mammary tumor integration site 3 	Int3	M80456	Notch4 	"Notch gene homolog 4, (Drosophila)"
96/136	"Lactalbumin, alpha  "	Lalba	M80909	Lalba 	"lactalbumin, alpha"
96/137	Cadherin-1 	Cdh1	M81449	Cdh1 	cadherin 1
96/138	Somatostatin 	Smst	M81831	Smstr1 	somatostatin receptor 1
96/139	Fas antigen 	Fas	M83649	Fas 	Fas antigen
96/140	Cyclin D2 	Ccnd2	M86182	Ccnd2 	cyclin D2
96/141	Adenomatosis polyposis coli 	Apc	M88127	Apc 	adenomatosis polyposis coli
96/142	Wingless-related MMTV integration site 5A 	Wnt5a	M89798	Wnt5a 	wingless-related MMTV integration site 5A
96/143	Catenin beta 	Catnb	M90364	Catnb 	catenin beta
96/144	Junction plakoglobin 	Jup	M90365	Jup 	junction plakoglobin
96/145	Transforming growth factor alpha 	Tgfa	M92420	Tgfa 	transforming growth factor alpha
96/146	Thymoma viral proto-oncogene 	Akt	M94335	Akt	thymoma viral proto-oncogene
96/147	Focal adhesion kinase 	Fadk	M95408	Fadk 	focal adhesion kinase
96/148	Insulin-like growth factor II receptor 	Igf2r	M97300	Igf2r	insulin-like growth factor II receptor
96/149	Janus kinase 1 	Jak1	S63728	Jak1 	Janus kinase 1
96/150	Caudal type homeo box-2 	Cdx2	S74520	Cdx2 	caudal type homeo box 2
96/151	Insulin-like growth factor-1 receptor 	Igf1r	U00182	Igf1r 	insulin-like growth factor I receptor
96/152	Ileal lipid binding protein 	Illbp	U00938	Illbp 	ileal lipid binding protein
96/153	Mammary-derived growth inhibitor 	Mdgi	U02883	Fabph1 	fatty acid binding protein heart 1
96/154	Hepatoma transmembrane kinase 	Htk	U06834	Ephb4 	Eph receptor B4 
96/155	Signal transducer and activator of transcription 3 	Stat3	U06922	Stat3 	signal transducer and activator of transcription 3
96/156	Signal transducer and activator of transcription 1 	Stat1	U06924	Stat1 	signal transducer and activator of transcription 1
96/157	Fas antigen ligand 	Fas1	U06948	Fasl 	Fas antigen ligand
96/158	Growth factor receptor-bound protein 2 	Grb2	U07617	Grb2 	growth factor receptor bound protein 2
96/159	Laminin alpha 2 	Lama2	U12147	Lama2 	"laminin, alpha 2"	
96/160	Integrin alpha v (cds1) 	Tgav	U14135	Itgav 	integrin alpha V (Cd51)	
96/161	Cannabinoid receptor 1(brain) 	Cnr1	U21681	Cnr2	cannabinoid receptor 2 (macrophage)	
96/162	MAP kinase kinase kinase (Mekk1) 	null	U23470	Mekk 	MEK kinase	
96/163	Somatostatin receptor 4 	Smstr4	U26176	Smstr4 	somatostatin receptor 4	
96/164	Breast cancer 1 	Brca1	U32446	Brca1 	breast cancer 1	
96/165	Cell division cycle 42 	Cdc42	U37720	Cdc42 	cell division cycle 42	
96/166	Laminin gamma 2	null	U42227	Sequence not in MGD		Yeast sequence.  On CD and Word document - EP FAIL
96/167	"Laminin, beta 3  "	Lamb3	U43298	Lamb3 	"laminin, beta 3"	
96/168	Dystroglycan 1 	Dag1	U43512	Dag1 	dystroglycan 1	
96/169	FJB osteosarcoma oncogene 	Fos	V00727	Fos 	FBJ osteosarcoma oncogene	
96/170	Whey acidic protein 	Wap	V00856	Wap 	whey acidic protein	
96/171	Transforming-related protein 53 	Trp53	X00741	Trp53 	transformation related protein 53	
96/172	Casein beta 	Csnb	X04490	Csnb 	casein beta	
96/173	Homeo box C8 	Hoxc8	X07646	Hoxc8 	homeo box C8	
96/174	Nidogen 	Nid	X14194	Nid 	nidogen	
96/175	Jun protooncogene related gene-d1 	Jund1	X15358	Jund1 	Jun protooncogene related gene d1
96/176	Retinoic acid receptor gamma 	Rarg	X15848	Rarg 	"retinoic acid receptor, gamma"
96/177	"Protein kinase C, alpha  "	Pkca	X52685	Pkca 	"protein kinase C, alpha"
96/178	Neurofibromatosis 	Nf1	X54924	Nf1 	neurofibromatosis
96/179	Myogenic factor 5 	Myf5	X56182	Myf5 	myogenic factor 5
96/180	"Retinoic acid receptor, beta  "	Rarb	X56569	Rarb 	"retinoic acid receptor, beta"
96/181	"Retinoic acid receptor, alpha  "	Rara	X57528	Rara 	"retinoic acid receptor, alpha"
96/182	"Cyclin B1, related sequence 1  "	Ccnb1-rs1	X58708	Ccnb1-rs1 	"cyclin B1, related sequence 1"
96/183	Villin 2 	Vil2	X60671	Vil2 	villin 2
96/184	Integrin alpha 6 	Itga6	X63251	Itga6 	integrin alpha 6
96/185	Growth arrest specific-1 	Gas1	X65128	Gas1 	growth arrest specific 1
96/186	Insulin receptor substrate 1 	Irs1	X69722	Irs1 	insulin receptor substrate 1
96/187	Hepatocyte growth factor 	Hgf	X72307	Hgf 	hepatocyte growth factor
96/188	Pancreatic and duodenal homeobox gene-1 	Pdx1	X74342	Pdx1 	pancreatic and duodenal homeobox gene 1
96/189	"Adrenergic receptor, beta-3  "	Adrb3	A26182	Adrb3	"adrenergic receptor, beta 3"
96/190	CD7 antigen 	Cd7	D10329	Cd7 	CD7 antigen
96/191	Interleukin 2 	Il2	D13821	Il2rg 	"interleukin 2 receptor, gamma chain"
96/192	"Adrenergic receptor, alpha-2B  "	Adra2b	L00979	Adra2b 	"adrenergic receptor, alpha 2b"
96/194	"Adrenergic receptor, beta 1  "	Adrb1	L10084	Adrb1 	"adrenergic receptor, beta 1"
96/195	Cd38 antigen related sequence 1 	Cd38-rs1	L11332	Cd38 	CD38 antigen
96/196	Engrailed-2 	En2	L12703	En1 	engrailed 1
96/197	CD22 antigen 	Cd22	L16928	Cd22 	CD22 antigen
96/198	Dopamine receptor 5 	Drd5	L20330	Drd5 	dopamine receptor 5
96/199	G-protein coupled receptor-8 	Gpcr8	L20333	Gpcr8 	G-protein coupled receptor 8
96/200	Dopamine receptor D1A 	Drd1a	L20336	Drd1a 	dopamine receptor D1A
96/201	CD27 antigen 	Cd27	L24495	Cd27 	CD27 antigen
96/202	"Myosin heavy chain 11, smooth muscle  "	Myh11	L25860	Myh11 	"myosin heavy chain 11, smooth muscle"
96/203	Protein kinase C-gamma 	Pkcc	L28035	Pkcc	"protein kinase C, gamma"
96/204	Wingless-related MMTV integration site-12 	Wnt12	L33719	Wnt10b 	Wingless related MMTV integration site 10b
96/205	Avian erythroblastosis oncogene B-2 	Erbb2	L47239	Erbb2 	avian erythroblastosis oncogene B 2
96/206	Avian erythroblastosis oncogene B-4 	Erbb4	L47241	Erbb4 	avian erythroblastosis oncogene B 4
96/207	Homeo box A6 	Hoxa6	M11988	Hoxa6	homeo box A6
96/208	Alpha actinin 3 	Actn3	M12347	Acta1 	"actin, alpha 1, skeletal muscle"
96/209	Tumor necrosis factor 	Tnf	M13049	Tnf 	tumor necrosis factor
96/210	Enkephalin 	null	M13227	Penk2 	preproenkephalin 2
96/211	CD2 antigen 	Cd2	M18934	Cd2 	CD2 antigen
96/212	Atrial / fetal myosin alkali light chain (Myla) 	null	M19436	Myla 	"myosin light chain, alkali, cardiac atria"
96/213	Wingless-related MMTV integration site-3 	Wnt3	M32502	Wnt3 	wingless-related MMTV integration site 3
96/214	"CD3 antigen, eta polypeptide  "	null	M33158	Cd3z 	"CD3 antigen, zeta polypeptide"
96/215	CD14 antigen 	Cd14	M34510	Cd14 	CD14 antigen
96/216	CD20 antigen 	Cd20	M62541	Cd20 	CD20 antigen
96/217	Chromogranin A 	Chga	M64278	Chga 	chromogranin A
96/218	5-Hydroxytryptamine (serotonin) receptor 3A 	Htr3a	M74425	Htr3a 	5-hydroxytryptamine (serotonin) receptor 3A
96/219	Cadherin 1 	Cdh1	M81449	Cdh1 	cadherin 1
96/220	Membrane metallo-endopeptidase 	Mme	M81591	Mme 	membrane metallo endopeptidase
96/221	Somatostatin receptor 1 	Smstr1	M81831	Smstr1 	somatostatin receptor 1
96/222	CD40 antigen 	Cd40	M83312	Cd40 	CD40 antigen
96/223	5-Hydroxytryptamine (serotonin) receptor 1B 	Htr1b	M85151	Htr1b 	5-hydroxytryptamine (serotonin) receptor 1B
96/224	"Selectin, endothelial cell  "	Sele	M87862	Sele 	"selectin, endothelial cell"	
96/225	"Myosin heavy chain, skeletal muscle adult-2  "	Myhsf2	M92099	Myhsf2 	"myosin heavy chain, skeletal muscle adult 2"	
96/226	Dopamine receptor 5 	Drd5	S77992	Drd5 	dopamine receptor 5 	
96/227	Olfactory marker protein 	Omp	U02557	Omp 	olfactory marker protein	
96/228	Secretogranin III 	Scg3	U02982	Scg3 	secretogranin III	
96/229	"Non-muscle myosin, light-chain 3 (MLC3nm)  "	null	U04443	Myln 	"myosin light chain, alkali, nonmuscle"	
96/230	Fas antigen ligand 	Fasl	U06948	Fasl 	Fas antigen ligand	
96/231	Integrin alpha V (Cd51) 	ItgaV	U14135	Itgav 	integrin alpha V (Cd51)	
96/232	Dopamine receptor 4 	Drd4	U19880	Drd4 	dopamine receptor 4	
96/233	MAP kinase kinase kinase (Mekk1) 	null	U23470	Mekk 	MEK kinase	
96/234	"Pottasium inwardly-rectifying channel, subfamily J, member 6  "	Kini6	U34397	D16Ium10e 	"DNA segment, Chr 16, Indiana University Medical 10, expressed "	
96/235	"CD8 antigen, alpha chain  "	Cd8a	U34881	Cd8a 	"CD8 antigen, alpha chain"	
96/236	5-Hydroxytryptamine (serotonin) receptor 1A 	Htr1a	U39391	Htr1a 	5-hydroxytryptamine (serotonin) receptor 1A	
96/237	"Laminin, gamma 2  "	Lamc2	U42227	Sequence not in MGD		Yeast sequence.  On CD and Word document - EP FAIL
96/238	Transformation-related protein 53 	Trp53	X00741	Trp53 	transformation related protein 53	
96/239	CD4 antigen 	Cd4	X04836	Cd4 	CD4 antigen	
96/240	Homeo box C8 	Hoxc8	X07646	Hoxc8 	homeo box C8
96/241	Integrin beta 2 	Itgb2	X14951	Itgb2 	integrin beta 2
96/242	Homeo box C6 	Hoxc6	X16510	Hoxc6 	homeo box C6
96/243	Chromogranin B 	Chgb	X51429	Chgb 	chromogranin B
96/244	Dopamine receptor 2 	Drd2	X55674	Drd2 	dopamine receptor 2
96/245	"Fc receptor, IgE, low affinity II, alpha  "	Fcer2a	X64223	Fcer2a 	"Fc receptor, IgE, low affinity II, alpha polypeptide"
96/246	CD44 antigen 	Cd44	X66081	Cd44 	CD44 antigen
96/247	Dopamine recepor D3 	Drd3	X67274	Drd3 	dopamine receptor 3
96/248	Ret proto-oncogene 	Ret	X67812	Ret 	ret proto-oncogene
96/249	Secretogranin II 	Scg2	X68838	Scg2 	secretogranin II
96/250	5-Hydroxytryptamine (serotonin) receptor 5B 	Htr5b	X69867	Htr5b 	5-hydroxytryptamine (serotonin) receptor 5B
96/251	5-hydroxytryptamine (serotonin) receptor 1C 	Htr1c	X72230	Htr1c 	5-hydroxytryptamine (serotonin) receptor 1C
96/252	Integrin alpha 2 (Cd49b) 	Itga2	X75427	Itga2 	integrin alpha 2 (Cd49b)
96/253	"Sonic hedgehog homolog, (Drosophila)  "	Shh	X76290	Shh 	"sonic hedgehog homolog, (Drosophila)"
96/254	"Indian hedgehog homolog, (Drosophila)  "	Ihh	X76291	Ihh 	"Indian hedgehog homolog, (Drosophila)"
96/255	"Desert hedgehog homolog, (Drosophila)  "	Dhh	X76292	Dhh 	"desert hedgehog homolog, (Drosophila)"
96/257	"Potassium inwardly-rectifying channel, subfamily J, member 4  "	Kcnj4	X80417	Kcnj12 	"potassium inwardly rectifying channel, subfamily J, member 12"
96/258	Bcl2-like (Bclx) 	Bcl2l	X83574	Bcl2l	Bcl2-like
96/259	5-hydroxytryptamine (serotonin) receptor 1D 	Htr1d	X94908	Htr1d 	5-hydroxytryptamine (serotonin) receptor 1D
96/260	5-hydroxytryptamine (serotonin) receptor 1E beta 	Htr1eb	Z14224	Htr1eb 	5-hydroxytryptamine (serotonin) receptor 1E beta
96/261	Extra cellular signal regulated kinase 1 	Esrk1	Z14249	Esrk1 	extra cellular signal regulated kinase 1
96/262	5-Hydroxytryptamine (serotonin) receptor 2C 	Htr2c	Z15119	Htr2b 	5-hydroxytryptamine (serotonin) receptor 2B
96/263	CD53 antigen 	Cd53	Z16071	Cd53 	CD53 antigen
96/264	5-Hydroxytryptamine (serotonin) receptor 5A 	Htr5a	Z18278	Htr5a 	5-hydroxytryptamine (serotonin) receptor 5A
96/265	5HTx serotonin receptor 	null	Z23107	Htr7 	5-hydroxytryptamine (serotonin) receptor 7
96/266	Integrin associated protein 	Itgp	Z25524	Itgp 	integrin-associated protein
96/267	Cyclin A 	Ccna	Z26580	Ccna2 	cyclin A2
96/268	Signal transducer and activator of transcription 5A 	Stat5a	Z48538	Stat5a 	signal transducer and activator of transcription 5A
96/269	Signal transducer and activator of transcription 5B 	Stat5b	Z48539	Stat5b 	signal transducer and activator of transcription 5B
96/270	Intestinal tyrosine kinase (Iyk) 	null	Z48757	Frk 	B-cell Src-homology tyrosine kinase
96/271	Dystrophin-related protein 2 	Drp2	U43520	Drp2 	dystrophin related protein 2
96/273	Rat sucrase-isomaltase 	Si	X15546	Si-s	"sucrase isomaltase, structural"
96/274	Dystroglycan 1 	Dag1	U43512	Dag1 	dystroglycan 1
96/275	Utrophin 	Utrn	X83506	Utrn 	utrophin
96/276	Calmegin 	Clgn	D14117	Clgn 	calmegin
